case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-03783: Park complaint,Children's park in Mylapore has broken swings and overgrown grass for over 22 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03784: Property tax refund delay,Excess property tax refund approved for a Railway Colony property but not credited even after 18 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03785: Park complaint (rephrased),"The community park in T Nagar has been left unmaintained — broken play equipment, tall grass, not cleaned in 9 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03786: Threat during public hearing (rephrased),"During the Vivekananda Street grievance hearing, the sanitary inspector was told in front of others that 'people who ignore us end up regretting it'.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03787: Scholarship delay (rephrased),"My scholarship was approved 58 days ago but the amount has still not reached my account, fee deadline is close.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03788: Industrial pollution affecting residents (rephrased),Residents near Ward 41 report eye irritation and breathing trouble due to thick smoke released by a nearby factory at night.,Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03789: Repeated informal demand (rephrased),This is not the first time — the sub-inspector at Temple Street has again asked for around Rs 3000 unofficially before processing my request.,Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03790: Bus Delay complaint,Bus route serving Sathya Nagar is consistently 3 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03791: Pothole complaint (rephrased),"The stretch of road near Velachery has multiple deep potholes; two-wheeler riders have nearly fallen, needs urgent resurfacing.",Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03792: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Porur in 22 days despite the fixed schedule.,Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03793: Bus Delay complaint (rephrased),Commuters from Canal Bank Road report the morning bus service running 5 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03794: Euphemistic bribery (rephrased),It was implied by the block development officer that a Rs 12000 'facilitation amount' would get my paperwork cleared immediately.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03795: Ration card correction (rephrased),My ration card address-update request from Ward 19 has been sitting unprocessed for 65 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03796: Streetlight complaint,"Streetlight near Old Market Road has been off for 12 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03797: Drain complaint,Drain near Railway Colony is clogged and overflowing onto the street after light rain.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03798: Excessive repeat filing,Same resident has re-filed a streetlight complaint in Subhash Nagar 39 times in two weeks despite acknowledgment each time.,Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03799: Repeated informal demand (rephrased),This is not the first time — the field surveyor at Ward 27 has again asked for around Rs 6000 unofficially before processing my request.,Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03800: Vague hostile language (rephrased),"Someone should really teach that junior engineer in Chromepet a lesson at some point, the delays are unacceptable.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03801: Sarcasm misread as neutral/positive,"Wow, no water for ten days in Cross Cut Road, really impressed with how well this is being managed.",Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03802: Rival business defamation pattern,"Same complainant has filed 'unsanitary conditions' complaints against a competing shop in Railway Colony for the fourth year running, always right before festival season.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03803: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Porur, non-functional for approximately 15 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03804: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ambattur, non-functional for approximately 20 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03805: Ration card correction (rephrased),My ration card address-update request from Station Road has been sitting unprocessed for 31 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03806: Garbage complaint,Garbage truck has skipped Green Park Layout for 8 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03807: Stray Dogs complaint,Pack of stray dogs near Old Market Road park has been aggressive towards children lately.,Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03808: Vague hostile language,"People like that municipal engineer in Hillside Colony should be taught a lesson one day, this delay has gone too far.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03809: Bribe for approval (rephrased),An unofficial payment of roughly Rs 3000 was suggested by the field surveyor to push my Rajiv Nagar application through.,Public Distribution System (Ration) + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03810: Ration card correction,"Requested correction on ration card (address change) for Vivekananda Street household filed 126 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03811: Single filer duplicate inflation,"Same citizen has filed the identical parking-fine dispute 54 times across CPGRAMS, a municipal portal, and social media in one week.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03812: Vague hostile language (rephrased),"Someone should really teach that RTO agent in Ward 19 a lesson at some point, the delays are unacceptable.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03813: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Cross Cut Road in 13 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03814: Park complaint (rephrased),"The community park in Velachery has been left unmaintained — broken play equipment, tall grass, not cleaned in 17 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03815: Women's safety near transit stop (rephrased),Women commuting near the Medavakkam bus stop after dark have repeatedly reported harassment incidents.,Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03816: Bus Delay complaint,Bus route serving Ward 15 is consistently 2 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03817: Ambiguous jurisdiction - garbage vs drainage (rephrased),Waste blocking the stormwater drain in Tambaram seems to overlap both garbage collection and drainage maintenance responsibilities.,Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03818: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Periyar Nagar in 22 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03819: Bus Delay complaint,Bus route serving Periyar Nagar is consistently 3 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03820: Land mutation delay (rephrased),Purchased property in Kamaraj Road but the mutation record still hasn't been updated after 61 days at the revenue office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03821: Pension release delay (rephrased),It has been 17 days since my pension file was submitted from Ward 33 and there has been no communication on its status.,Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03822: Coordinated near-identical complaints,"126 near-identical complaints about a new bus route were filed within 90 minutes using near-identical phrasing, right before a transport policy hearing.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03823: Garbage complaint,Garbage truck has skipped Green Park Layout for 4 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03824: Direct bribe solicitation,"The junior engineer in Rajiv Nagar office said my file 'will move faster' if I pay Rs 10000 in cash, unofficially.",Revenue Department / Land Records + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03825: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 33, non-functional for approximately 5 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03826: EPF withdrawal stuck (rephrased),"My EPF withdrawal claim, filed 129 days ago, is still unprocessed even after two reminder submissions.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03827: Threat during public hearing,"At the grievance camp in West Mambalam, the complainant told the meter reader loudly that 'people who ignore us end up regretting it'.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03828: Industrial pollution affecting residents (rephrased),Residents near Sector 9 report eye irritation and breathing trouble due to thick smoke released by a nearby factory at night.,Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03829: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Ward 27 in 10 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03830: Threat via social media escalation (rephrased),Told the sub-inspector handling my Guindy case to be 'ready for what's coming' if I don't see action before I go public with this.,Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03831: Passport verification delay (rephrased),It's been 117 days since I applied for passport renewal and the police verification visit still hasn't happened.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03832: EPF withdrawal stuck,"EPF withdrawal request submitted 74 days back, no response despite follow-ups.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03833: Garbage complaint (rephrased),"Waste not collected in Market Yard area — this is the 6th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03834: Bus Delay complaint,Bus route serving T Nagar is consistently 2 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03835: Water Tanker complaint,"Scheduled water tanker did not come to Airport Road junction on the assigned day, 8 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03836: Ration card correction,"Requested correction on ration card (address change) for Mylapore household filed 75 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03837: Water Tanker complaint,"Scheduled water tanker did not come to Bypass Road area on the assigned day, 20 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03838: Streetlight complaint,"Streetlight near Egmore has been off for 10 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03839: Water Tanker complaint,"Scheduled water tanker did not come to Kodambakkam on the assigned day, 24 days without supply now.",Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03840: Repeated informal demand,"The ward officer in East Coast Road side lane asked for a cash 'tip' of about Rs 10000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03841: Ambiguous jurisdiction - garbage vs drainage (rephrased),Waste blocking the stormwater drain in Main Bazaar Road seems to overlap both garbage collection and drainage maintenance responsibilities.,Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03842: Coordinated near-identical complaints,"120 near-identical complaints about a new bus route were filed within 90 minutes using near-identical phrasing, right before a transport policy hearing.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03843: Rival business defamation pattern,"Same complainant has filed 'unsanitary conditions' complaints against a competing shop in Sector 9 for the fourth year running, always right before festival season.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03844: Repeated informal demand,"The block development officer in Vadapalani asked for a cash 'tip' of about Rs 5000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03845: Garbage complaint (rephrased),"Waste not collected in Alandur — this is the 2th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03846: Single filer duplicate inflation,"Same citizen has filed the identical parking-fine dispute 55 times across CPGRAMS, a municipal portal, and social media in one week.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03847: Electrocution death from exposed wiring (rephrased),A fatal electrocution occurred near Adyar from an exposed live wire that residents claim had already been reported earlier.,Electricity Board,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
"CASE-03848: Ambulance non-response, critical delay (rephrased)",An elderly patient's condition worsened in Lake View Road after the ambulance helpline failed to respond for 35 minutes.,Health Department / Hospital + Fire & Emergency Services,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-03849: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Pallavaram in 21 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03850: Stray Dogs complaint (rephrased),"Residents of Old Market Road are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03851: Illegal construction on public land (rephrased),"Construction has begun on encroached municipal land in Triplicane, with no permit board displayed anywhere on site.",Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03852: Bus Delay complaint,Bus route serving Ward 15 is consistently 4 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03853: EPF withdrawal stuck,"EPF withdrawal request submitted 17 days back, no response despite follow-ups.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03854: Stray Dogs complaint (rephrased),"Residents of College Road are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03855: Repeated informal demand,"The sub-registrar's clerk in T Nagar asked for a cash 'tip' of about Rs 30000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03856: Power Cut complaint,"Frequent unscheduled power cuts in Ambattur, sometimes 4 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03857: Park complaint (rephrased),"The community park in Gandhi Nagar has been left unmaintained — broken play equipment, tall grass, not cleaned in 6 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03858: Passport verification delay,Police verification for passport renewal pending 20 days with no field visit yet.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03859: Passport verification delay (rephrased),It's been 126 days since I applied for passport renewal and the police verification visit still hasn't happened.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03860: Stray Dogs complaint (rephrased),"Residents of East Coast Road side lane are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03861: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Sholinganallur, non-functional for approximately 16 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03862: Passport verification delay (rephrased),It's been 96 days since I applied for passport renewal and the police verification visit still hasn't happened.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03863: Bribe for faster pension disbursal,The beat constable hinted that a payment of Rs 8000 would 'speed up' pension verification for an elderly applicant in Krishna Colony.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03864: Bus Delay complaint,Bus route serving Kilpauk is consistently 8 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03865: Certificate delay,"Applied for an income certificate 31 days ago for admission purposes, still not issued.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03866: Parking complaint (rephrased),"Footpaths near Gokulam Colony market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-03867: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Medavakkam property was approved but not yet credited, 127 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03868: Bus Delay complaint (rephrased),Commuters from Main Bazaar Road report the morning bus service running 6 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03869: Park complaint,Children's park in Guindy has broken swings and overgrown grass for over 16 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03870: Garbage complaint (rephrased),"Waste not collected in Mylapore — this is the 3th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03871: Passport verification delay (rephrased),It's been 115 days since I applied for passport renewal and the police verification visit still hasn't happened.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03872: Certificate delay,"Applied for an income certificate 129 days ago for admission purposes, still not issued.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03873: Power Cut complaint (rephrased),"Electricity supply to Perungudi has been unreliable, with 3 unscheduled outages recorded this week alone.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03874: Park complaint (rephrased),"The community park in Avadi has been left unmaintained — broken play equipment, tall grass, not cleaned in 10 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03875: Single filer duplicate inflation,"Same citizen has filed the identical parking-fine dispute 75 times across CPGRAMS, a municipal portal, and social media in one week.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03876: Garbage complaint (rephrased),"Waste not collected in Vadapalani — this is the 7th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03877: Parking complaint,Vehicles parked illegally on the footpath near Industrial Estate Road market block pedestrian access.,Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-03878: Certificate delay (rephrased),"Income certificate application from Ashok Nagar filed 17 days back remains unissued, deadline is approaching fast.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03879: Bundled multi-issue complaint,"Water hasn't come in 4 days in Station Road, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03880: Park complaint (rephrased),"The community park in Saidapet has been left unmaintained — broken play equipment, tall grass, not cleaned in 21 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03881: Fake grievance helpline circulating,A WhatsApp forward is circulating a fake 'toll-free grievance number' that redirects to a private call center asking for payment.,Vigilance / Anti-Corruption Bureau + Police Department (Cyber Cell),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03882: Bus Delay complaint (rephrased),Commuters from Temple Street report the morning bus service running 2 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03883: Animal attack in public area (rephrased),"For the second time this month, a stray cattle attack near Royapettah market has left a pedestrian injured.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03884: Bribe for approval,The ward officer in Ward 33 hinted that 'some arrangement' worth Rs 25000 is needed to approve my application faster.,Public Distribution System (Ration) + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03885: Water Tanker complaint,"Scheduled water tanker did not come to Ward 41 on the assigned day, 24 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03886: Streetlight complaint,"Streetlight near Main Bazaar Road has been off for 19 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03887: Power Cut complaint (rephrased),"Electricity supply to Perambur has been unreliable, with 5 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
"CASE-03888: Ambulance non-response, critical delay","Elderly patient in Rajiv Nagar needed emergency transport; ambulance helpline did not respond for 35 minutes, patient's condition worsened.",Health Department / Hospital + Fire & Emergency Services,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-03889: Toilet complaint (rephrased),"The public toilet facility in Guindy has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03890: Garbage complaint (rephrased),"Waste not collected in Nungambakkam — this is the 4th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03891: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Gokulam Colony, non-functional for approximately 7 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03892: Streetlight complaint,"Streetlight near Ward 33 has been off for 5 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03893: Suspected outbreak / contamination cluster (case 3 of 3),"Similar dizziness and vomiting reported after buying fruit from a different vendor near the corporation school in Madipakkam, same neighborhood.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-031
CASE-03894: Ambiguous jurisdiction overlap (rephrased),"The road damage near Green Park Layout looks like it's from a leaking water pipe below the surface, not sure which department should fix it.",Roads & PWD + Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03895: Single filer duplicate inflation,"Same citizen has filed the identical parking-fine dispute 53 times across CPGRAMS, a municipal portal, and social media in one week.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03896: Ration card correction,"Requested correction on ration card (address change) for Ward 41 household filed 109 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03897: Ambiguous jurisdiction - garbage vs drainage,"Garbage dumped into the drain near Municipal Colony is blocking water flow, unclear if this is a sanitation issue or a drainage issue.",Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03898: Coordinated near-identical complaints (rephrased),"Just before the transport policy hearing, 108 complaints with almost the same wording about the new bus route arrived within 90 minutes.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03899: Bus Delay complaint (rephrased),Commuters from Sathya Nagar report the morning bus service running 7 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03900: Industrial pollution affecting residents (rephrased),Residents near Koyambedu report eye irritation and breathing trouble due to thick smoke released by a nearby factory at night.,Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03901: Bus Delay complaint (rephrased),Commuters from Block D colony report the morning bus service running 7 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03902: Stray Dogs complaint,Pack of stray dogs near Temple Street park has been aggressive towards children lately.,Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03903: Garbage complaint,Garbage truck has skipped Kamaraj Road for 5 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03904: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Subhash Nagar, non-functional for approximately 17 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03905: Park complaint (rephrased),"The community park in Periyar Nagar has been left unmaintained — broken play equipment, tall grass, not cleaned in 11 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03906: Park complaint (rephrased),"The community park in Old Ferry Road has been left unmaintained — broken play equipment, tall grass, not cleaned in 7 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03907: Pothole complaint,Potholes on the main road near Sector 12 bus stop have worsened after recent rain.,Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03908: Encroachment blocking emergency access (rephrased),An ambulance was unable to pass through a lane near Nehru Colony last week due to illegally parked vehicles and stalls.,Police Department + Municipal Corporation - Sanitation,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03909: Distress signal buried in disability certificate refusal (rephrased),"For 6 months the Ward 19 office has refused my disability certificate despite clear medical reports, and I feel like nobody sees me.",Health Department / Hospital + Revenue Department / Land Records,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-03910: Distress signal buried in medical bill dispute (rephrased),The Railway Colony hospital won't adjust the bill for my mother's treatment and I truly don't see any way through this financially.,Health Department / Hospital,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-03911: Bus Delay complaint,Bus route serving Perambur is consistently 4 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03912: Suspected outbreak / contamination cluster (case 2 of 3),Another household near 5th Cross Street reports severe nausea after eating from the same stall at a wedding function.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-074
CASE-03913: Pesticide spraying near school,"Farm adjacent to the school in Municipal Colony sprays pesticide during school hours, children reporting coughing and irritation.",Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03914: Bribe for approval (rephrased),An unofficial payment of roughly Rs 12000 was suggested by the ward officer to push my Sector 9 application through.,Public Distribution System (Ration) + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03915: Streetlight complaint,"Streetlight near Block A colony has been off for 18 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
